nom_complet_taxon_referentiel;nom_valide
Hieracium quercetorum Jord. ex Boreau, 1857;Hieracium dumosum Jord., 1849
Hieracium querciticola Jord. ex Boreau, 1857;Hieracium querceticola Jord. ex Boreau, 1857
Hieracium racemosum subsp. basalticarum Rouy ex Sudre, 1902;Hieracium taurinense Jord., 1849
Hieracium ramosissimum Schleich. ex Hegetschw. subsp. ramosissimum;Hieracium ramosissimum Schleich. ex Hegetschw., 1831
Hieracium ramosissimum subsp. adenoclinium (Arv.-Touv.) Zahn, 1916;Hieracium ramosissimum Schleich. ex Hegetschw., 1831
Hieracium rectum Griseb., 1852;Hieracium patens Bartl. ex Griseb.
Hieracium rectum subsp. hecatadenum (Arv.-Touv. & Gaut.) Zahn, 1923;Hieracium hecatadenum Arv.-Touv. & Gaut., 1904
Hieracium rectum subsp. patens (Bartl. ex Griseb.) Zahn, 1923;Hieracium patens Bartl. ex Griseb.
Hieracium rigens Jord., 1849;Hieracium virgultorum Jord., 1848
Hieracium rubescens Jord. ex Willk. & Lange, 1865;Hieracium fragile Jord., 1849
Hieracium rupicola Jord., 1848;Hieracium pulmonarioides Vill., 1779
Hieracium rupicola subsp. vestitum (Gren.) Nyman, 1879;Hieracium vestitum Gren., 1850
Hieracium sabaudum subsp. concinnum (Jord.) Zahn, 1906;Hieracium concinnum Jord., 1849
Hieracium sabaudum subsp. curvidens (Jord.) Zahn, 1923;Hieracium curvidens Jord., 1849
Hieracium sabaudum subsp. fruticetorum (Jord. ex Boreau) Zahn, 1923;Hieracium fruticetorum Jord. ex Boreau, 1857
Hieracium sabaudum subsp. grandidentatum (Jord. ex Boreau) Zahn, 1923;Hieracium dumosum Jord., 1849
Hieracium sabaudum subsp. lugdunense (Rouy) Zahn, 1923;Hieracium virgultorum Jord., 1848
Hieracium sabaudum subsp. nemorivagum (Jord. ex Boreau) Zahn, 1906;Hieracium curvidens Jord., 1849
Hieracium sabaudum subsp. occitanicum (Jord.) Zahn, 1923;Hieracium occitanicum Jord., 1849
Hieracium sabaudum subsp. roffiavieri (Jord. ex Sudre) Zahn, 1923;Hieracium sabaudum subsp. roffavieri (Jord. ex Sudre) Zahn, 1923
Hieracium sabaudum subsp. sabaudiforme Zahn, 1901;Hieracium virgultorum Jord., 1848
Hieracium sabaudum subsp. sedunense (Gremli) Zahn, 1923;Hieracium virgultorum Jord., 1848
Hieracium sabaudum subsp. virescens (Sond. ex W.D.J.Koch) Zahn, 1923;Hieracium virgultorum Jord., 1848
Hieracium sagotii Jord. ex Boreau, 1857;Hieracium firmum Jord., 1848
Hieracium salevense (Rapin ex Fr.) Zahn, 1906;Hieracium dentatum Hoppe, 1817
Hieracium scabiosum (Sudre) Sudre, 1902;Hieracium fruticetorum Jord. ex Boreau, 1857
Hieracium scabripes Jord. ex Boreau, 1857;Hieracium murorum L., 1753
Hieracium serratifolium Jord. ex Boreau, 1857;Hieracium murorum L., 1753
Hieracium sertiflorum Arv.-Touv., 1913;Pilosella x anchusoides Arv.-Touv., 1880
Hieracium serum Jord. ex Boreau, 1857;Hieracium umbellatum L., 1753
Hieracium similatum Jord. ex Boreau, 1857;Hieracium fragile Jord., 1849
Hieracium sonchoides subsp. xatardianum (Arv.-Touv.) Zahn, 1921;Hieracium xatardianum Arv.-Touv., 1894
Hieracium sparsum Jord. ex Boreau, 1857;Hieracium murorum L., 1753
Hieracium spectabile (Fr.) Zahn, 1921;Hieracium chloropsis Gren. & Godr., 1850
Hieracium squalidum Arv.-Touv., 1871;Hieracium cottetii Godet ex Gremli, 1880
Hieracium stelligerum subsp. albogilvum (Jord. & Sudre) Zahn, 1921;Hieracium stelligerum Froël., 1838
Hieracium stenocladum Jord. ex Boreau, 1857;Hieracium firmum Jord., 1848
Hieracium subgracilipes (Zahn) P.D.Sell & C.West, 1976;Hieracium firmum Jord., 1848
Hieracium submacilentum (Rouy) P.D.Sell & C.West, 1976;Hieracium submacilentum (Rouy) Prain, 1913
Hieracium subolidum Jord. ex Boreau, 1857;Hieracium cinerascens Jord., 1849
Hieracium subpamphilei Zahn, 1916;Hieracium tomentellum Nägeli & Peter, 1886
Hieracium subperfoliatum Arv.-Touv., 1883;Hieracium jurassicum Griseb., 1853
Hieracium subrubens Arv.-Touv., 1888;Pilosella x subrubens Arv.-Touv.
Hieracium substellatum Arv.-Touv. & Gaut., 1893;Hieracium stelligerum Froël., 1838
Hieracium substellatum subsp. subaveyronense Zahn, 1921;Hieracium sublacteum Arv.-Touv. & Gaut., 1894
Hieracium substellatum subsp. sublacteum Arv.-Touv. & Gaut. ex Zahn, 1921;Hieracium sublacteum Arv.-Touv. & Gaut., 1894
Hieracium substellatum subsp. subsetibifidum Zahn, 1921;Hieracium stelligerum Froël., 1838
Hieracium subtilissimum Zahn, 1901;Hieracium cichoriaceum Arv.-Touv., 1888
Hieracium subtomentosum (Burnat) Zahn, 1916;Hieracium monregalense Burnat & Gremli, 1883
Hieracium sudrei Charb., 1920;Hieracium pallidulum Jord. ex Boreau, 1857
Hieracium sutteri Soest;Hieracium sutteri Soest, 1965
Hieracium symphytaceum Arv.-Touv., 1876;Hieracium favratii Muret ex Gremli, 1874
Hieracium symphytaceum Arv.-Touv. subsp. pseudorotgesianum Zahn;Hieracium rotgesianum Arv.-Touv. & Gaut., 1904
Hieracium taraxacifolium Arv.-Touv., 1888;Hieracium taraxaciforme Arv.-Touv., 1880
Hieracium tenuiflorum Arv.-Touv. ex C.Bicknell, 1896;Hieracium cinerascens Jord., 1849
Hieracium tolpidifolium Arv.-Touv., 1894;Hieracium vaginatum Jeanb. & Timb.-Lagr., 1879
Hieracium umbellatum L. subsp. umbellatum;Hieracium umbellatum L., 1753
Hieracium umbelliforme Jord. ex Boreau, 1857;Hieracium umbellatum L., 1753
Hieracium umbrosum Jord. subsp. umbrosum;Hieracium umbrosum Jord., 1848
Hieracium umbrosum subsp. subexilentum Zahn, 1906;Hieracium nigratum (Murr & Zahn) Prain, 1913
Hieracium ustulatum Arv.-Touv., 1873;Hieracium nigritellum Arv.-Touv., 1871
Hieracium vallesiacum Fr., 1862;Hieracium vallisiacum Fr., 1862
Hieracium vernum Sauzé & Maillard, 1860;Hieracium brevipes Jord. ex Boreau, 1857
Hieracium viride subsp. trachyticum Arv.-Touv., 1886;Hieracium juranum Fr., 1848
Hieracium viscosum Arv.-Touv. subsp. viscosum;Hieracium viscosum Arv.-Touv., 1876
Hieracium vulgatum subsp. lachenalii (C.C.Gmel.) Zahn, 1906;Hieracium lachenalii Suter
Hieracium wiesbaurianum subsp. acutiserratum Zahn, 1921;Hieracium glaucinum Jord., 1848
Hieracium wiesbaurianum subsp. aveyronense (Arv.-Touv. & Gaut.) Zahn, 1921;Hieracium planchonianum Timb.-Lagr. & Loret, 1858
Hieracium wiesbaurianum subsp. dolichellum Arv.-Touv. & Gaut. ex Zahn, 1921;Hieracium jaubertianum Timb.-Lagr. & Loret, 1858
Hieracium wiesbaurianum subsp. nervulosum Arv.-Touv. & Gaut. ex Zahn, 1921;Hieracium medium Jord., 1849
Hieracium wiesbaurianum subsp. subcanescens Arv.-Touv. & Gaut. ex Zahn, 1921;Hieracium medium Jord., 1849
Hieracium x anchusoides (Arv.-Touv.) Arv.-Touv., 1881;Pilosella x anchusoides Arv.-Touv., 1880
Hieracium x biflorum Arv.-Touv., 1871;Pilosella x biflora (Arv.-Touv.) Arv.-Touv., 1880
Hieracium x densiflorum Tausch, 1828;Pilosella densiflora (Tausch) Soják, 1971
Hieracium x fallax Willd., 1809;Pilosella setigera Fr., 1865
Hieracium x flagellare Willd. ex Schltdl., 1813;Pilosella flagellaris (Willd.) P.D.Sell & C.West, 1967
Hieracium x fulvisetum Bertol., 1853;Pilosella visianii F.W.Schultz & Sch.Bip., 1862
Hieracium x hybridum Vill., 1812;Pilosella x hybrida F.W.Schultz & Sch.Bip., 1862
Hieracium x niphostribes Peter, 1884;Pilosella corymbuloides (Arv.-Touv.) S.Bräut. & Greuter, 2008
Hieracium x schultesii F.W.Schultz, 1844;Pilosella x schultesii (F.W.Schultz) F.W.Schultz & Sch.Bip. ex H.P.Fuchs, 1980
Hieracium x schultesii subsp. erythrogrammum Nägeli & Peter, 1885;Pilosella x schultesii (F.W.Schultz) F.W.Schultz & Sch.Bip. ex H.P.Fuchs, 1980
Hieracium x schultesii subsp. soleirolianum (Arv.-Touv. & Briq.) Zahn, 1923;Pilosella soleiroliana (Arv.-Touv. & Briq.) S.Bräut. & Greuter, 2007
Hieracium x stoloniferum Waldst. & Kit., 1812;Pilosella stoloniflora (Waldst. & Kit.) F.W.Schultz & Sch.Bip., 1862
Hieracium x tendinum Nägeli & Peter, 1885;Pilosella corymbuloides (Arv.-Touv.) S.Bräut. & Greuter, 2008
Hieracium x visianii (F.W.Schultz & Sch.Bip.) Schinz & Thell., 1923;Pilosella visianii F.W.Schultz & Sch.Bip., 1862
Hieracium x zizianum subsp. sardonium Zahn, 1923;Pilosella ziziana (Tausch) F.W.Schultz & Sch.Bip., 1862
Hieracium x zizianum Tausch, 1828;Pilosella ziziana (Tausch) F.W.Schultz & Sch.Bip., 1862
Himantoglossum;Himantoglossum Spreng., 1826
Himantoglossum hircinum (L.) Spreng. subsp. hircinum;Himantoglossum hircinum (L.) Spreng., 1826
Hippocrepis areolata Desv., 1826;Hippocrepis bicontorta Loisel.
Hirschfeldia incana (L.) Lagr.-Foss. subsp. incana;Hirschfeldia incana (L.) Lagr.-Foss., 1847
Holandrea carvifolia (Vill.) Reduron, Charpin & Pimenov, 1997;Dichoropetalum carvifolia (Vill.) Pimenov & Kljuykov
Holandrea schottii (Besser ex DC.) Reduron, Charpin & Pimenov, 1997;Dichoropetalum schottii (Besser ex DC.) Pimenov & Kljuykov
Holosteum umbellatum L. subsp. umbellatum;Holosteum umbellatum L., 1753
Holosteum umbellatum subsp. hirsutum (Mutel) Breistr., 1970;Holosteum breistrofferi Greuter & Charpin
Hordelymus C.O. Harz, 1885;Hordelymus (Jessen) C.O. Harz, 1885
Hordeum distichon L., 1753;Hordeum vulgare subsp. distichon (L.) Korn., 1882
Hordeum distichon subsp. distichon ;Hordeum vulgare var. distichon 
Hordeum distichon subsp. zeocriton (L.) Schinz & R.Keller;Hordeum vulgare var. zeocriton (L.) Körn.
Hordeum marinum Huds. subsp. marinum;Hordeum marinum Huds., 1778
Hordeum marinum subsp. gussoneanum (Parl.) Thell., 1908;Hordeum geniculatum All., 1785
Hordeum vulgare subsp. hexastichum (L.) Celak., 1867;Hordeum vulgare subsp. vulgare 
Hosackia americana (Nutt.) Piper, 1906;Acmispon americanus (Nutt.) Rydb., 1913
Hyacinthoides Fabr., 1759;Hyacinthoides Heist. ex Fabr., 1759
Hyacinthoides non-scripta (L.) Chouard ex Rothm. subsp. non-scripta;Hyacinthoides non-scripta (L.) Chouard ex Rothm., 1944
Hydrangea L.;Hydrangea L., 1753
Hydrilla;Hydrilla Rich.
Hydrocotyle bonariensis Comm. ex Lam., 1789;Hydrocotyle bonariensis Lam., 1789
Hymenocarpos circinnatus (L.) Savi, 1798;Anthyllis circinnata (L.) D.D.Sokoloff, 2003
Hymenolobus procumbens (L.) Nutt. ex Schinz & Thell., 1921;Hornungia procumbens (L.) Hayek, 1925
Hymenolobus procumbens (L.) Nutt. ex Schinz & Thell. subsp. procumbens;Hornungia procumbens var. procumbens 
Hymenolobus procumbens subsp. pauciflorus (W.D.J.Koch) Schinz & Thell., 1921;Hornungia procumbens var. pauciflorus (W.D.J.Koch) B.Bock, 2012
Hymenolobus procumbens subsp. revelieri (Jord.) Greuter & Burdet, 1985;Hornungia procumbens var. revelieri (Jord.) B.Bock, 2012
Hyoscyamus niger L. var. niger;Hyoscyamus niger L., 1753
Hyoseris radiata L. subsp. radiata;Hyoseris radiata L., 1753
Hyparrhenia hirta (L.) Stapf subsp. hirta;Hyparrhenia hirta (L.) Stapf, 1919
Hypecoum procumbens L. subsp. procumbens;Hypecoum procumbens L., 1753
Hypericum perforatum var. veronense (Schrank) Nyman, 1878;Hypericum perforatum var. angustifolium DC., 1815
Hypericum x carinthiacum Froël., 1915;Hypericum x desetangsii subsp. carinthiacum (Froël.) N.Robson, 1976
Hyssopus officinalis subsp. pilifer (Pant.) Murb., 1891;Hyssopus officinalis subsp. aristatus (Godr.) Nyman, 1881
Iberis spathulata DC., 1805;Iberis spathulata J.P.Bergeret ex DC., 1805
Inula helenium L. subsp. helenium;Inula helenium L., 1753
Inula salicina L. subsp. salicina;Inula salicina L., 1753
Inula salicina subsp. aspera (Poir.) Hayek, 1931;Inula aspera Poir., 1813
Iridaceae A.L. Jussieu, 1789;Iridaceae Juss., 1789
Iris spuria subsp. maritima (Lam.) P.Fourn., 1935;Iris reichenbachiana Klatt, 1866
Isatis tinctoria L. subsp. tinctoria;Isatis tinctoria var. tinctoria 
Isatis tinctoria subsp. canescens (DC.) Nyman, 1878;Isatis tinctoria var. canescens (DC.) Gren. & Godr., 1848
Jacobaea ;Jacobaea Mill., 1754
Jacobaea aquatica subsp. aquatica ;Jacobaea aquatica (Hill) P.Gaertn., B.Mey. & Scherb., 1801
Jacobaea x albescens (Burb. & Colgan) B.Bock;Jacobaea x albescens (Burb. & Colgan) Verloove & Lambinon, 2011
Jacobaea x laggeri (Sch.Bip. ex Focke) B.Bock;Jacobaea x laggeri (Sch.Bip. ex Focke) B.Bock, 2012
Jacobaea x mirabilis (Gaut. ex Rouy) B.Bock;Jacobaea x mirabilis (Gaut. ex Rouy) B.Bock, 2012
Jonopsidium acaule (Desf.) Rchb., 1829;Ionopsidium acaule (Desf.) Rchb., 1829
Juncus articulatus var. articulatus ;Juncus articulatus f. articulatus 
Juncus bufonius L. subsp. bufonius;Juncus bufonius L., 1753
Juncus bufonius subsp. minutulus (Krecz. & Gontsch.) Soó, 1971;Juncus bufonius var. congestus Wahlb., 1820
Juncus conglomeratus L. subsp. conglomeratus;Juncus conglomeratus L., 1753
Juncus gerardi Loisel. subsp. gerardi;Juncus gerardi Loisel., 1809
Juncus sorrentini Parl., 1857;Juncus sorrentinii Parl., 1857
Juncus x buchenaui Dörfl., 1897;Juncus x alpiniformis Fernald, 1933
Juncus x surrejanus Druce ex Stace & Lambinon, 1983;Juncus x montserratensis Marcet, 1947
Juniperus turbinata (Guss.) P.Lebreton & P.Perez, 2001;Juniperus phoenicea subsp. turbinata (Guss.) Arcang., 1882
Kickxia spuria (L.) Dumort., 1829;Kickxia spuria (L.) Dumort., 1827
Knautia arvensis (L.) Coult. subsp. arvensis;Knautia arvensis (L.) Coult., 1828
Knautia dipsacifolia (Host) Kreutzer, 1840;Knautia maxima (Opiz) J.Ortmann, 1842
Knautia foreziensis Chass. ex Szabó, 1934;Knautia basaltica var. foreziensis (Chassagne & Szabó) Breton-Sintès
Knautia leucophaea Briq., 1902;Knautia timeroyii subsp. carpophylax (Jord.) B.Bock, 2012
Knautia timeroyi Jord., 1848;Knautia timeroyii Jord., 1848
Knautia timeroyi Jord. subsp. timeroyi;Knautia timeroyii subsp. timeroyi 
Knautia timeroyi subsp. collina (Schübler & G.Martens) Breistr., 1940;Knautia collina Jord., 1848
Koeleria glauca subsp. maritima (Lange) Domin, 1904;Koeleria arenaria (Dumort.) Ujhelyi, 1970
Koelreuteria paniculata Laxm.;Koelreuteria paniculata Laxm., 1772
Krubera peregrina (L.) Hoffm., 1814;Stoibrax dichotomum (L.) Raf., 1840
Laburnum anagyroides Medik. subsp. anagyroides;Laburnum anagyroides Medik., 1787
Lagarosiphon Harvey, 1841;Lagarosiphon Harv., 1841
Lamium garganicum subsp. longiflorum (Ten.) Kerguélen, 1987;Lamium garganicum L. subsp. garganicum
Laphangium luteoalbum (L.) Tzvelev, 1993;Laphangium luteoalbum (L.) Tzvelev, 1994
Lappula deflexa (Wahlenb.) Ces., 1844;Hackelia deflexa (Wahlenb.) Opiz, 1838
Lappula squarrosa (Retz.) Dumort., 1829;Lappula squarrosa (Retz.) Dumort., 1827
Lathyrus linifolius var. linifolius ;Lathyrus linifolius f. linifolius 
Lathyrus ochraceus Kitt., 1844;Lathyrus occidentalis (Fisch. & C.A.Mey.) Fritsch, 1895
Lathyrus ochraceus subsp. occidentalis (Fisch. & C.A.Mey.) Bässler, 1977;Lathyrus occidentalis (Fisch. & C.A.Mey.) Fritsch subsp. occidentalis
Lathyrus palustris L. subsp. palustris;Lathyrus palustris L., 1753
Lathyrus setifolius L. var. setifolius;Lathyrus setifolius L., 1753
Lathyrus setifolius var. alatus Foucaud & Simon, 1898;Lathyrus setifolius L., 1753
Lathyrus vernus (L.) Bernh. subsp. vernus;Lathyrus vernus f. vernus 
Lavandula dentata L.;Lavandula dentata L., 1753
Lavatera olbia L., 1753;Malva olbia (L.) Alef., 1862
Lavatera punctata All., 1789;Malva punctata (L.) Alef., 1862
Lavatera thuringiaca L., 1753;Malva thuringiaca (L.) Vis., 1852
Lavatera trimestris L., 1753;Malva trimestris (L.) Salisb., 1796
Legousia scabra (Lowe) Gamisans, 1985;Legousia falcata subsp. castellana (Lange) Jauzein, 1995
Leontodon montanus Lam., 1779;Scorzoneroides montana (Lam.) Holub, 1977
Leonurus marrubiastrum L., 1753;Chaiturus marrubiastrum (L.) Rchb., 1831
Lepidium graminifolium L. subsp. graminifolium;Lepidium graminifolium L., 1759
Lepidium hirtum subsp. oxyotum (DC.) Thell., 1906;Lepidium oxyotum DC., 1821
Leptochloa fusca (L.) Kunth, 1829;Diplachne fusca (L.) P.Beauv. ex Roem. & Schult., 1812
Leptochloa fusca subsp. fascicularis (Lam.) N.Snow, 1998;Diplachne fusca var. fascicularis (Lam.) P.M.Peterson & N.Snow, 2012
Leucanthemopsis tomentosa (Loisel.) Marchi, 1980;Leucanthemopsis alpina subsp. tomentosa (Loisel.) Heywood, 1975
Leucanthemum atratum subsp. ceratophylloides (All.) Horvatic, 1935;Leucanthemum coronopifolium subsp. ceratophylloides (All.) Vogt & Greuter, 2003
Leucanthemum atratum subsp. coronopifolium (Vill.) Horvatic, 1935;Leucanthemum coronopifolium Gren. & Godr., 1850
Leucanthemum pallens (J.Gay ex Perreym.) DC. subsp. pallens;Leucanthemum pallens (J.Gay ex Perreym.) DC., 1838
Leucanthemum pallens subsp. leucolepis (Briq. & Cavill.) Favarger, 1975;Leucanthemum vulgare subsp. leucolepis Briq. & Cavill., 1916
Leucojum aestivum L. subsp. aestivum;Leucojum aestivum L., 1759
Leucojum aestivum subsp. pulchellum (Salisb.) Briq., 1910;Leucojum pulchellum Salisb., 1807
Limbarda crithmoides (L.) Dumort., 1829;Limbarda crithmoides (L.) Dumort., 1827
Limnanthes;Limnanthes R.Br., 1833
Limonium bellidifolium (Gouan) Dumort., 1829;Limonium bellidifolium (Gouan) Dumort., 1827
Limonium diffusum (Pourr.) Kuntze, 1891;Myriolimon diffusum (Pourr.) Lledó, Erben & M.B.Crespo, 2005
Limonium ferulaceum (L.) Chaz., 1790;Myriolimon ferulaceum (L.) Lledó, Erben & M.B.Crespo, 2005
Limonium geronense Erben;Limonium geronense Erben, 1978
Limonium Hill, 1753;Limonium Mill., 1754
Limonium lambinonii Erben;Limonium lambinonii Erben, 2002
Limonium tarcoënse Arrigoni & Diana, 1993;Limonium tarcoense Arrigoni & Diana, 1993
Linaria vulgaris Mill. subsp. vulgaris;Linaria vulgaris Mill., 1768
Linaria vulgaris subsp. perrieri (Rouy) Rouy, 1910;Linaria x oligotricha Borbás, 1878
Lindernia dubia (L.) Pennell subsp. dubia;Lindernia dubia var. dubia 
Lindernia dubia subsp. major (Pursh) Pennell, 1935;Lindernia dubia var. major (Pursh) Deam
Linum maritimum L. subsp. maritimum;Linum maritimum L., 1753
Liparis loeselii var. ovata (Kay & John) Ridd. ex Godfery;Liparis loeselii var. ovata (Kay & John) Ridd. ex Godfery, 1933
Liriodendron;Liriodendron L., 1753
Liriodendron tulipifera L.;Liriodendron tulipifera L., 1753
Listera cordata (L.) R.Br., 1813;Neottia cordata (L.) Rich., 1817
Listera ovata (L.) R.Br., 1813;Neottia ovata (L.) Bluff & Fingerh., 1837
Listera R. Br.;Neottia Guéttard, 1754
Littorella uniflora (L.) Asch., 1866;Littorella uniflora (L.) Asch., 1864
Livistona chinensis (Jacq.) R.Br.;Livistona chinensis (Jacq.) R.Br. ex Mart., 1838
Loeflingia hispanica L. subsp. hispanica;Loeflingia hispanica L., 1753
Lolium temulentum subsp. linicolum Berher;Lolium remotum Schrank, 1789
Lolium temulentum subsp. temulentum ;Lolium temulentum L., 1753
Lomelosia graminifolia (L.) Greuter & Burdet subsp. graminifolia;Lomelosia graminifolia (L.) Greuter & Burdet, 1985
Loncomelos narbonensis (L.) Raf., 1840;Loncomelos narbonense (L.) Raf., 1840
Lonicera nitida E.H.Wilson;Lonicera nitida E.H.Wilson, 1911
Lotus alpinus (DC.) Schleich. ex Ramond, 1825;Lotus corniculatus subsp. alpinus (DC.) Rothm., 1963
Lotus angustissimus L. subsp. angustissimus;Lotus angustissimus L., 1753
Lotus angustissimus subsp. hispidus (Desf. ex DC.) Bonnier & Layens, 1894;Lotus hispidus Desf. ex DC., 1805
Lotus biflorus Desr.;Lotus biflorus Desr., 1792
Lotus corniculatus subsp. tenuis (Waldst. & Kit. ex Willd.) Berher, 1887;Lotus glaber Mill., 1768
Lotus corniculatus var. hirsutus Wallr., 1822;Lotus corniculatus subsp. valdepilosus (Schur) Kerguélen, 1994
Lotus cytisoides L. subsp. cytisoides;Lotus cytisoides L., 1753
Lotus cytisoides subsp. conradiae Gamisans, 1992;Lotus creticus L., 1753
Lotus delortii Timb.-Lagr. ex F.W.Schultz, 1852;Lotus corniculatus subsp. delortii (F.W.Schultz) Nyman, 1878
Lotus herbaceus subsp. gracilis (Jor.) Jauzein, 2010;Dorycnium pentaphyllum subsp. gracile (Jord.) Rouy, 1899
Lotus herbaceus subsp. herbaceus ;Dorycnium pentaphyllum subsp. herbaceum (Vill.) Bonnier & Layens, 1894
Lotus herbaceus (Vill.) Jauzein, 2010;Dorycnium pentaphyllum subsp. herbaceum (Vill.) Bonnier & Layens, 1894
Lotus preslii Ten., 1838;Lotus corniculatus subsp. preslii (Ten.) P.Fourn., 1936
Lunaria annua L. subsp. annua;Lunaria annua L., 1753
Lupinus albus L. subsp. albus;Lupinus albus L., 1753
Luzula italica Parl., 1857;Luzula spicata subsp. italica (Parl.) Arcang., 1882
Luzula nutans (Vill.) Duval-Jouve, 1863;Luzula pediformis (Chaix) DC., 1805
Luzula pallescens Sw., 1814;Luzula pallidula B.Kirchn., 1990
Luzula rubella Wender., 1839;Luzula luzuloides var. erythranthema (Wallr.) I.Grint., 1966
Lychnis coronaria (L.) Desr., 1792;Silene coronaria (L.) Clairv., 1811
Lycopus europaeus L. subsp. europaeus;Lycopus europaeus var. europaeus 
Lycopus europaeus subsp. menthifolius (Mabille) Skalicky, 1968;Lycopus europaeus var. menthifolius (Mabille) Nyman, 1881
Lysimachia arvensis f. latifolia (L.) B.Bock;Lysimachia arvensis subsp. latifolia (L.) Peruzzi, 2010
Lysimachia arvensis f. parviflora (Hoffmanns. & Link) B.Bock;Lysimachia arvensis subsp. parviflora (Hoffmanns. & Link) Peruzzi, 2010
Lysimachia arvensis (L.) U.Manns & Anderb.;Lysimachia arvensis (L.) U.Manns & Anderb., 2009
Lysimachia arvensis subsp. caerulea (Hartm.) B.Bock;Lysimachia foemina (Mill.) U.Manns & Anderb., 2009
Lysimachia arvensis subsp. intermedia (Giraudias) B.Bock;Lysimachia x intermedia (Giraudias) B.Bock, 2012
Lysimachia vulgaris L. subsp. vulgaris;Lysimachia vulgaris L., 1753
Magnolia L.;Magnolia L., 1753
Magnolia x soulangeana Soul.-Bod.;Magnolia x soulangeana Soul.-Bod., 1827
Magydaris pastinacea (Lam.) Paol., 1900;Magydaris pastinacea (Lam.) Paol. & Bég., 1900
Mahonia aquifolium (Pursh) Nutt., 1818;Berberis aquifolium Pursh, 1814
Mahonia Nutt., 1818;Berberis L., 1753
Malcolmia nana (DC.) Boiss., 1867;Maresia nana (DC.) Batt., 1888
Malcolmia R. Br., 1812;Malcolmia R.Br., 1812
Malus sylvestris Mill. subsp. sylvestris;Malus sylvestris Mill., 1768
Malva dendromorpha M.F.Ray, 1998;Malva arborea (L.) Webb & Berthel., 1837
Malva linnaei M.F.Ray;Malva multiflora (Cav.) Soldano
Malva pusilla Sm.;Malva pusilla Sm., 1795
Malva wigandii (Alef.) M.F.Ray, 1998;Malva subovata (DC.) Molero & J.-M. Monts.
Malva wigandii f. wigandii ;Malva subovata f. subovata 
Matricaria maritima L., 1753;Tripleurospermum maritimum (L.) W.D.J.Koch, 1847
Matricaria maritima L. subsp. maritima;Tripleurospermum maritimum (L.) W.D.J.Koch, 1847
Matricaria recutita L., 1753;Matricaria chamomilla L., 1753
Matricaria recutita L. var. recutita;Matricaria chamomilla var. recutita (L.) Grierson, 1974
Matthiola R. Br., 1812;Matthiola R.Br., 1812
Matthiola sinuata (L.) R.Br. subsp. sinuata;Matthiola sinuata (L.) R.Br., 1812
Medicago lupulina L. subsp. lupulina;Medicago lupulina L., 1753
Medicago lupulina subsp. cupaniana (Guss.) Nyman, 1878;Medicago lupulina var. cupaniana (Guss.) Boiss., 1872
Medicago orbicularis (L.) Bartal. subsp. orbicularis;Medicago orbicularis (L.) Bartal., 1776
Medicago polymorpha L. subsp. polymorpha;Medicago polymorpha L., 1753
Medicago sativa subsp. media (Pers.) Schübler & G.Martens, 1834;Medicago sativa subsp. ambigua (Trautv.) Tutin
Medicago sphaerocarpos Bertol., 1810;Medicago murex subsp. sphaerocarpos (Bertol.) I.Lesins & K.A.Lesins, 1979
Medicago tornata (L.) Mill., 1768;Medicago italica (Mill.) Fiori, 1921
Medicago tornata subsp. obscura (Retz.) Kerguélen, 1994;Medicago italica subsp. italica 
Medicago tornata subsp. striata (Bastard) Kerguélen, 1987;Medicago italica subsp. striata (Bastard) Greuter & Burdet, 1989
Medicago tuberculata (Retz.) Willd., 1802;Medicago turbinata (L.) All., 1785
Melampyrum arvense L. subsp. arvense;Melampyrum arvense f. arvense 
Melampyrum delphinense Beauverd, 1916;Melampyrum subalpinum (Jur.) A.Kern., 1863
Melampyrum vaudense (Ronniger) Soó, 1927;Melampyrum catalaunicum Freyn, 1884
Melampyrum velebiticum Borbás, 1882;Melampyrum catalaunicum Freyn, 1884
Melica minuta L. subsp. minuta;Melica minuta var. minuta 
Melica minuta subsp. major (Lange) Trab., 1895;Melica minuta var. latifolia Coss., 1849
Melica transsilvanica Schur, 1866;Melica ciliata subsp. transsilvanica (Schur) Husn., 1898
Melilotus Hill, 1753;Melilotus (L.) Mill., 1754
Melilotus neapolitanus Ten., 1815;Melilotus spicatus (Sm.) Breistr., 1956
Mentha aquatica L. subsp. aquatica;Mentha aquatica var. aquatica 
Mentha aquatica subsp. ortmanniana (Opiz) Lemke, 1963;Mentha aquatica var. ortmanniana (Opiz) Heinr.Braun, 1890
Mentha x niliaca Juss. ex Jacq., 1777;Mentha x rotundifolia (L.) Huds., 1762
Mentha x smithiana var. smithiana ;Mentha x smithiana R.A.Graham, 1949
Mentha x villosa subsp. alopecuroides (Hull) Briq.;Mentha x villosa var. alopecuroides (Hull) Briq.
Mentha x villosa subsp. lamyi (Malinv.) Lebeau, 1974;Mentha x villosa Huds., 1778
Mercurialis annua L. subsp. annua;Mercurialis annua L., 1753
Mercurialis annua subsp. ambigua (L.f.) Arcang., 1882;Mercurialis ambigua L.f., 1762
Mercurialis annua subsp. huetii (Hanry) Lange, 1880;Mercurialis huetii Hanry, 1864
Merendera filifolia Cambess., 1827;Colchicum filifolium (Cambess.) Stef., 1926
Mespilus germanica L., 1753;Crataegus germanica (L.) Kuntze, 1891
Mespilus L., 1753;Crataegus L., 1753
